,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind
1445,0.55,Lyft,West End,Haymarket Square,9.0,1.0,7679f95e-5059-4f39-b0b0-91f9ed987885,lyft_plus,Lyft XL,2018-11-26:09.29.09,40.88,1.0,1014.75,,0.93,1.18
3542,2.58,Uber,Beacon Hill,South Station,9.0,1.0,ff16a3f0-e132-44bd-85b4-a3fd718ba0e3,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-30:11.52.59,29.89,0.05,1016.53,,0.84,3.2
56,2.17,Uber,South Station,North Station,20.5,1.0,6e79ced8-252e-42c7-9c3b-9ea0b340dd6c,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.02.09,39.9,0.98,995.03,,0.64,9.99
2618,0.56,Lyft,North Station,Haymarket Square,10.5,1.0,59fdf1a5-dd39-48ba-8150-513af1fefb8c,lyft_plus,Lyft XL,2018-11-28:07.31.37,35.03,0.15,991.76,,0.8,6.64
3096,2.32,Uber,Fenway,Beacon Hill,11.0,1.0,fb57de14-1ec5-4266-9c70-ed2c7ce25c65,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:23.49.34,39.34,0.86,995.91,,0.66,10.4
1245,2.32,Uber,Fenway,Beacon Hill,9.5,1.0,f5120868-9327-4ee9-99d3-6317fe75e178,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:06.41.41,37.65,0.61,1000.61,,0.71,10.53
3830,2.7,Uber,North End,Back Bay,11.5,1.0,3edbc6b6-cb56-4a97-96be-4afd3d4f9190,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:19.32.07,40.51,1.0,992.59,,0.66,9.88
3831,1.22,Uber,Northeastern University,Back Bay,16.0,1.0,2a5ebcec-75b4-4cdf-9bdf-a783752b3f5d,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:06.49.50,37.89,0.99,1000.18,,0.69,10.03
3361,2.96,Lyft,Fenway,West End,7.0,1.0,5c659cae-9d2a-4260-9ebb-922c1606808b,lyft_line,Shared,2018-11-27:00.58.48,43.96,0.98,1006.0,0.1468,0.9,9.96
2202,3.01,Uber,Boston University,North Station,35.0,1.0,9124ecc4-fb43-4098-81ec-6aca1fd1df19,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:00.49.07,38.77,0.76,996.79,,0.7,9.7
139,1.02,Lyft,North End,Financial District,16.5,1.0,856bdb5b-bd7f-43b8-8fac-070717692b73,lyft_lux,Lux Black,2018-11-28:17.02.08,41.41,0.92,991.49,,0.63,9.25
294,1.25,Uber,Haymarket Square,Financial District,7.0,1.0,754b61bc-4684-44cb-8d76-f3997ed2959c,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:17.05.09,45.5,0.98,1012.84,,0.86,6.26
1601,2.38,Lyft,Fenway,Beacon Hill,16.5,1.0,5de88d57-918b-42f4-b917-c6bdd88f9567,lyft_premier,Lux,2018-11-28:09.32.18,33.49,0.42,991.8,,0.84,5.89
3299,3.98,Uber,Financial District,Boston University,14.0,1.0,20e55be8-30e6-4ed5-b454-1afd274e456a,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:01.32.07,38.5,0.65,997.45,,0.72,9.97
3553,0.67,Uber,Haymarket Square,North Station,,1.0,91994679-a2e7-42b6-af6f-565cb24ac15e,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:14.32.07,38.99,0.44,991.93,,0.67,11.2
3059,0.54,Uber,Financial District,South Station,,1.0,bce18a0f-29e3-4e53-89e5-836eeed7327b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:01.27.03,36.67,0.58,997.48,,0.77,10.53
1533,2.72,Uber,West End,Fenway,18.0,1.0,9833c1fc-a913-4166-b9e8-7736778a4349,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26:07.46.10,40.97,0.98,1014.26,,0.92,1.37
1801,3.09,Lyft,Northeastern University,West End,13.5,1.5,570dbf95-7674-43d9-9990-41f40ed6bdc5,lyft,Lyft,2018-11-26:06.49.04,41.07,0.98,1014.35,,0.92,1.8
3363,2.96,Lyft,Fenway,West End,26.0,1.0,c831bdc4-2ed6-4358-9f3c-0d307d8359ec,lyft_lux,Lux Black,2018-11-27:00.58.48,43.96,0.98,1006.0,0.1468,0.9,9.96
3315,2.34,Uber,Back Bay,North End,15.0,1.0,599cab43-773f-4051-97c2-fc2359e4a713,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:18.32.07,41.29,0.99,991.7,,0.64,10.28
1539,1.81,Lyft,Beacon Hill,North End,16.5,1.25,7a7bc604-07d3-473a-be28-e8efec3e4a02,lyft_plus,Lyft XL,2018-11-28:15.06.22,39.6,0.27,991.75,,0.65,8.23
1525,3.07,Uber,North Station,Fenway,11.5,1.0,8e8a1cf5-423f-4078-af2d-282780a95df3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:01.02.08,38.61,0.72,997.16,,0.71,9.82
2028,1.85,Uber,West End,South Station,8.5,1.0,4032a7d0-d954-4c36-9083-8194910263f6,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:11.32.07,34.03,0.35,991.05,,0.79,6.57
1185,1.99,Lyft,Back Bay,Haymarket Square,13.5,1.0,43dbcf70-baa9-4049-b14e-662ce858ee30,lyft_plus,Lyft XL,2018-11-28:13.32.07,37.96,0.55,991.82,,0.69,6.72
3771,0.98,Lyft,Beacon Hill,Haymarket Square,34.0,1.25,ef857b8b-1e19-456c-8837-762286d842e5,lyft_luxsuv,Lux Black XL,2018-11-29:01.51.40,38.52,0.57,997.62,0.002,0.7,9.98
68,3.12,Lyft,Fenway,Theatre District,19.5,1.0,eccaeb86-ebc7-4ea0-a9e0-0066b0ef0810,lyft_plus,Lyft XL,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95
2275,1.64,Uber,Back Bay,Northeastern University,8.5,1.0,8b27f1e2-f574-4333-931d-5301a79fa276,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:16.02.07,41.4,0.61,991.57,,0.61,9.96
3521,0.46,Lyft,South Station,Financial District,3.5,1.0,0791b36a-1c7d-455b-9223-ad0cad388443,lyft_line,Shared,2018-11-28:10.32.07,33.53,0.15,991.41,,0.83,6.45
1165,1.45,Lyft,Back Bay,Boston University,10.5,1.0,6ead28e4-78f4-428f-a9a2-dc99c50e60ef,lyft_plus,Lyft XL,2018-11-28:10.32.07,32.98,0.17,991.43,,0.84,6.27
1313,4.54,Lyft,Fenway,Financial District,22.5,1.0,8932c16d-3246-4c3f-a1f8-111738627f05,lyft_plus,Lyft XL,2018-11-26:22.42.24,45.52,0.97,1007.96,0.0118,0.84,9.72
3328,1.82,Uber,Back Bay,Fenway,26.0,1.0,e50027e7-d202-41ff-9c8a-9625ad13a18c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:20.32.07,40.81,1.0,993.33,,0.65,9.75
2412,2.07,Lyft,South Station,North Station,16.5,1.0,9263a070-4822-4b56-84d3-79823e3e3a2d,lyft_premier,Lux,2018-11-26:19.35.10,45.79,0.91,1010.89,,0.83,8.59
1432,2.29,Lyft,Boston University,Beacon Hill,32.5,1.0,a00c933e-e0ff-42b7-bd74-44fb4405587b,lyft_luxsuv,Lux Black XL,2018-11-28:23.02.09,39.95,0.98,995.04,,0.64,9.99
2732,2.86,Uber,West End,Northeastern University,9.5,1.0,907f9cef-b5df-4bc9-8912-003d6b7bcf35,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:01.45.22,44.05,1.0,1004.15,0.5659,0.91,12.38
2648,1.56,Lyft,North End,Beacon Hill,7.0,1.0,53ad5863-c3eb-419b-bcf7-6105e3d68e99,lyft,Lyft,2018-11-28:14.06.23,38.39,0.48,991.69,,0.67,11.36
1707,1.37,Lyft,Haymarket Square,Beacon Hill,22.5,1.5,4e8da6c1-fbb3-47eb-84ee-9db97c84d519,lyft_lux,Lux Black,2018-11-26:06.14.17,40.46,1.0,1014.18,,0.91,1.19
3048,3.31,Uber,Northeastern University,North Station,27.5,1.0,8750614c-023b-4aff-a3d3-546a0e3798a0,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:09.29.09,40.83,1.0,1014.75,,0.93,1.24
723,2.66,Lyft,Beacon Hill,Boston University,22.5,1.0,fc511999-0615-42d6-bf62-a8a38c12cf45,lyft_lux,Lux Black,2018-11-29:00.37.34,38.65,0.75,996.83,,0.69,10.79
3610,3.17,Uber,North End,Back Bay,,1.0,60d5a2b1-0868-4d1d-9c58-d189a99f0395,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:00.02.07,39.23,0.83,996.09,,0.66,10.67
2975,4.52,Lyft,Fenway,Financial District,9.0,1.0,bb6704bf-4e69-4edf-9814-55daa7067c56,lyft_line,Shared,2018-11-29:02.32.09,39.22,0.35,998.16,,0.68,10.51
324,0.73,Uber,Haymarket Square,West End,7.0,1.0,2c54367f-ebe8-41cc-8f84-160d64b9df93,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:01.53.39,38.44,0.57,997.66,,0.7,10.01
1784,3.01,Uber,Boston University,North Station,10.5,1.0,e2ee9ebb-8076-44cb-b88b-f017c1877345,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:01.02.08,38.66,0.7,997.12,,0.71,9.92
2446,0.56,Uber,Haymarket Square,North Station,,1.0,70e3c234-81f6-4ca8-9514-3d0a9ef10acf,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:19.02.08,40.98,1.0,991.81,,0.64,9.5
1397,4.72,Uber,Financial District,Boston University,,1.0,e9de955e-1141-40a9-8b2b-e830ea70bac0,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:22.42.25,44.48,0.97,1007.91,0.0082,0.88,9.47
3094,4.74,Uber,Financial District,Boston University,29.5,1.0,51bcf685-805e-4d56-8152-9f826ff7fd88,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:02.32.08,38.14,0.37,998.34,,0.71,10.49
2119,1.63,Uber,West End,South Station,,1.0,e2a563a1-bdfe-4570-b455-7a0a2152109b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:01.51.40,38.45,0.58,997.62,0.002,0.7,10.03
1309,1.35,Uber,South Station,Beacon Hill,11.5,1.0,614bc729-f8cd-4ffc-a720-ad2dfc6cd2f4,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:21.53.39,40.78,0.85,993.96,,0.63,9.12
3612,3.17,Uber,North End,Back Bay,22.0,1.0,80491f32-e39d-4a06-94aa-90e17c53d3a4,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:00.02.07,39.23,0.83,996.09,,0.66,10.67
865,1.45,Lyft,Back Bay,Northeastern University,10.5,1.0,9f327af0-80f5-40c7-9423-d800c4fea001,lyft_plus,Lyft XL,2018-11-28:00.45.22,38.75,0.04,992.12,,0.73,7.43
2620,3.26,Lyft,North Station,Northeastern University,27.5,1.0,029239e7-9487-49ab-a141-7de461f5d253,lyft_lux,Lux Black,2018-11-28:10.06.24,33.05,0.14,991.22,,0.84,5.65
1161,1.21,Lyft,Theatre District,Haymarket Square,11.0,1.0,7ef47f2d-d740-483e-be5e-125e9bd3e071,lyft_plus,Lyft XL,2018-11-28:21.02.08,41.14,0.93,993.44,,0.63,8.49
2073,2.84,Uber,Back Bay,North End,36.0,1.0,97720379-a2d5-43a1-9093-5c176d51f183,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:10.05.10,40.84,1.0,1014.75,,0.93,1.81
2627,2.98,Lyft,Northeastern University,West End,7.0,1.0,00da877e-9fd5-406e-9dc6-1611aaf53cf9,lyft_line,Shared,2018-11-28:17.32.07,41.4,0.86,991.66,,0.64,9.92
637,1.52,Lyft,Theatre District,North End,30.0,1.0,4e6ba044-604c-429f-be52-68b34a13a985,lyft_luxsuv,Lux Black XL,2018-11-28:23.02.09,39.98,0.98,995.02,,0.64,10.04
2839,4.32,Lyft,Financial District,Fenway,7.0,1.0,268bf231-245b-4421-897a-060a9ccf2903,lyft_line,Shared,2018-11-28:11.06.24,33.12,0.4,990.69,,0.82,6.52
2304,1.57,Uber,North End,Theatre District,13.5,1.0,769b11d3-72f0-4299-b165-7d90f86d22b8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26:14.05.09,42.54,0.91,1014.84,0.003,0.91,2.24
100,1.25,Uber,Haymarket Square,Financial District,15.0,1.0,b4fa019f-049e-468d-ae63-b11ca539c5c9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:01.02.08,36.85,0.71,997.12,,0.76,10.0
500,2.67,Uber,Boston University,Theatre District,32.5,1.0,3ba3c83d-5878-4777-a781-0f0c70bea3ca,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:08.54.56,34.08,0.52,991.62,,0.81,4.97
420,1.01,Lyft,Financial District,Haymarket Square,16.5,1.0,058f6935-3b64-4eb0-9bc6-d624a0de924f,lyft_lux,Lux Black,2018-11-28:10.02.08,33.25,0.13,991.17,,0.83,5.58
2529,2.32,Uber,Fenway,Beacon Hill,30.5,1.0,2faf6563-67ec-4855-81be-a66e4451a576,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:19.35.10,45.91,0.91,1010.88,,0.83,8.61
3770,0.98,Lyft,Beacon Hill,Haymarket Square,9.0,1.25,e8a581cc-8ce5-40a6-b62a-0bb62d25f332,lyft,Lyft,2018-11-29:01.51.40,38.52,0.57,997.62,0.002,0.7,9.98
2787,3.21,Lyft,North Station,Fenway,10.5,1.0,80432c12-4dfd-4e34-b59a-8638d1b40ba9,lyft,Lyft,2018-11-28:13.32.07,37.97,0.55,991.86,,0.69,6.53
485,1.1,Uber,Northeastern University,Back Bay,9.5,1.0,ce559094-5ba4-46ed-9ff4-895295edfe90,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:01.59.55,38.54,0.55,997.79,,0.7,10.2
2781,2.38,Lyft,Beacon Hill,Fenway,26.0,1.25,69545082-b7c1-437a-b507-9aad2ca29681,lyft_lux,Lux Black,2018-11-28:13.32.07,37.97,0.55,991.86,,0.69,6.53
964,0.56,Uber,Boston University,Financial District,26.0,1.0,b3545852-aa2a-4a1b-9733-35708bb0d2a1,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:11.06.24,33.78,0.37,990.68,,0.8,6.63
551,3.27,Lyft,North Station,Northeastern University,19.5,1.0,c7c04811-143f-4173-a053-5c12f404b244,lyft_plus,Lyft XL,2018-11-26:04.55.44,40.56,0.94,1013.75,,0.92,2.88
996,0.99,Uber,Financial District,Haymarket Square,15.5,1.0,251ed11e-4ce1-4006-a7d9-4e60ae4d7ef5,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:21.35.09,44.55,0.92,1009.04,,0.86,9.45
1373,4.72,Uber,Financial District,Boston University,22.5,1.0,c0af394c-287a-42d2-bb02-16c32d7550b1,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26:06.29.02,40.45,1.0,1014.16,,0.92,1.27
3799,1.07,Lyft,Financial District,Haymarket Square,11.0,1.0,d3acfa7c-001a-41fb-b677-fc73256e6bed,lyft_premier,Lux,2018-11-28:17.02.08,41.38,0.92,991.49,,0.63,9.24
1181,0.56,Lyft,North Station,Haymarket Square,11.0,1.25,ff777d11-d26d-46f7-a5e2-fe608f5ebcc1,lyft_plus,Lyft XL,2018-11-28:13.32.07,37.96,0.55,991.82,,0.69,6.72
230,2.62,Uber,Boston University,Theatre District,10.5,1.0,9e8820a9-0ddf-418b-a5ac-a3c2ef61e06e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:01.45.22,44.09,1.0,1004.19,0.7222,0.91,12.45
3776,4.57,Uber,Financial District,Northeastern University,,1.0,67fcc863-e9f4-4b2d-a79a-34c1c2048642,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:09.43.15,33.07,0.4,991.99,,0.85,6.76
918,2.32,Uber,Haymarket Square,Back Bay,9.5,1.0,ba61cab5-3b43-4cf2-b216-9128606c7c03,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:23.02.09,39.99,0.98,995.05,,0.63,9.97
3104,4.72,Uber,Financial District,Boston University,23.0,1.0,b6c52f8f-9aa1-431a-807e-70b95990bf04,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:19.02.08,41.12,1.0,991.84,,0.64,9.36
3595,3.37,Uber,Northeastern University,North Station,9.5,1.0,2fb95d8d-8d46-452c-aac9-8cc0012c3e8f,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-01:15.53.05,39.94,0.11,1022.78,,0.61,3.36
1051,1.34,Uber,Fenway,Back Bay,11.5,1.0,26ec5e02-74ce-4b0e-b5f2-7222be49fed4,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:07.31.37,35.01,0.16,991.78,,0.8,6.56
542,1.26,Lyft,West End,North End,27.5,1.0,4a32b7a5-471c-4fbe-9300-2fa59a063e56,lyft_luxsuv,Lux Black XL,2018-11-29:01.32.08,38.4,0.64,997.39,,0.72,10.13
2454,1.1,Uber,Northeastern University,Back Bay,10.0,1.0,6fab5ea4-fce5-4ba2-b3a0-55ea62759076,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:01.02.08,38.74,0.71,997.14,,0.7,9.89
480,2.66,Uber,Fenway,Theatre District,,1.0,983f148d-1610-41f6-a162-780336c4f327,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:14.02.08,38.44,0.49,991.65,,0.67,11.31
308,2.38,Lyft,South Station,Beacon Hill,10.5,1.0,ff81bfeb-ade9-41b9-aa9a-057517e174bb,lyft,Lyft,2018-11-29:06.49.50,37.87,0.99,1000.17,,0.69,10.02
3115,2.8,Lyft,Back Bay,North End,22.5,1.0,24f4807d-a84b-4d58-8ede-24c2dbecf62e,lyft_premier,Lux,2018-11-28:13.32.07,37.98,0.55,991.82,,0.69,6.76
2355,2.61,Uber,Beacon Hill,Northeastern University,19.5,1.0,01b0f8b7-fd15-4b5d-9062-17bd1da973ad,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:12.02.07,34.58,0.83,991.23,,0.76,6.36
1030,3.16,Lyft,Fenway,Theatre District,27.5,1.0,a923d6f4-7949-494e-b92e-51d11d54df13,lyft_lux,Lux Black,2018-11-28:10.02.08,33.1,0.13,991.18,,0.84,5.59
2879,0.02,Uber,Theatre District,South Station,6.5,1.0,d464159a-cf5c-4735-9d2c-2d154bbedce2,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:06.49.50,38.11,0.98,1000.17,,0.69,10.07
3441,1.51,Uber,Boston University,Back Bay,7.5,1.0,8b5232e5-a82b-4169-bb28-6ac7cdc2ee8c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:14.06.23,38.45,0.48,991.7,,0.67,11.36
1840,2.86,Uber,West End,Northeastern University,,1.0,7bc64f9c-37af-4dbc-afc3-6ff3071c75dd,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:16.32.08,41.34,0.66,991.63,,0.63,10.44
2610,1.45,Lyft,Boston University,Back Bay,13.5,1.0,61aa17d6-7836-41ad-ad91-64f74932a1c3,lyft_plus,Lyft XL,2018-11-28:15.02.08,39.52,0.27,991.75,,0.65,8.19
1194,2.98,Uber,Theatre District,Boston University,31.5,1.0,ea309d5f-1c4f-4a8d-ac49-72fb9ccee4d4,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:07.31.37,35.0,0.16,991.78,,0.8,6.44
341,3.26,Lyft,North Station,Fenway,27.5,1.0,11a8b18e-799f-45d9-8189-aac2bc5183cc,lyft_lux,Lux Black,2018-11-26:10.05.10,40.76,1.0,1014.75,,0.93,1.9
434,2.66,Uber,Theatre District,Fenway,20.5,1.0,be58f56a-8a9a-4558-aa2d-e47d22d4a6cd,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:06.29.02,40.33,1.0,1014.16,,0.92,1.29
468,3.04,Uber,West End,Boston University,10.0,1.0,949eb1f4-4ede-4a4e-a2dd-b419d64b4eee,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:11.06.24,32.99,0.4,990.69,,0.83,6.5
919,2.32,Uber,Haymarket Square,Back Bay,9.0,1.0,f7ab4776-c0a1-42a0-a96a-5d6c8d726fbb,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:23.02.09,39.99,0.98,995.05,,0.63,9.97
3478,3.01,Uber,Boston University,North Station,11.0,1.0,b162087d-c114-457b-8196-cfcb1e2e7b53,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:07.33.43,35.0,0.15,991.75,,0.8,6.66
1126,0.64,Lyft,West End,Haymarket Square,7.0,1.0,49535fed-14b7-40ea-a119-1a0e5bdcb1eb,lyft,Lyft,2018-11-29:06.41.41,37.59,0.61,1000.59,,0.71,10.58
1738,3.16,Uber,North End,Back Bay,35.0,1.0,9c72d732-91b2-48d8-898b-872041600092,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:11.32.07,32.98,0.42,990.91,,0.83,7.06
747,1.42,Lyft,Back Bay,Fenway,3.5,1.0,d3bd8ad0-1e34-4f09-84d4-d6cbe8e90bbd,lyft_line,Shared,2018-11-28:14.02.08,38.48,0.49,991.67,,0.67,11.49
513,1.46,Uber,Beacon Hill,North End,9.5,1.0,2e6db79c-95e9-4d15-9b31-b875b8a7bf84,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:01.02.08,38.72,0.7,997.11,,0.7,9.97
2568,1.55,Lyft,Back Bay,Northeastern University,7.0,1.0,d8159336-2084-46da-97a1-7d4ba0d5adf5,lyft_line,Shared,2018-11-29:02.32.08,37.79,0.37,998.33,,0.72,10.63
278,2.89,Lyft,Boston University,West End,32.5,1.0,7c188e88-c4bf-4a58-921f-c9d30149b0a8,lyft_luxsuv,Lux Black XL,2018-11-28:13.32.07,38.31,0.59,991.71,,0.68,6.86
676,1.49,Lyft,Boston University,Back Bay,5.0,1.0,9ad10a4a-1ab6-4942-9b60-8dcb7a4dfdf0,lyft_line,Shared,2018-11-29:01.32.08,38.46,0.65,997.43,,0.72,10.06
