,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,time_ride,date_hour,temp,location,clouds,pressure,rain,humidity,wind,time_weather
2006,0.48,Lyft,South Station,Financial District,13.5,1.75,bce9cd42-bdd2-40a9-a214-923a544c45b5,lyft_plus,Lyft XL,2018-11-26 06:14:16.086,2018-11-26:06.14.16,40.5,Financial District,1.0,1014.18,0.0,0.92,1.25,2018-11-26 06:14:16.000
2715,4.18,Lyft,Financial District,Northeastern University,5.0,1.0,977feec9-c5a3-41a3-adab-24448dcf1eb2,lyft_line,Shared,2018-11-28 23:02:09.397,2018-11-28:23.02.09,39.88,Northeastern University,0.98,995.06,0.0,0.64,9.97,2018-11-28 23:02:09.000
513,1.46,Uber,Beacon Hill,North End,9.5,1.0,2e6db79c-95e9-4d15-9b31-b875b8a7bf84,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29 01:02:08.471,2018-11-29:01.02.08,38.72,North End,0.7,997.11,0.0,0.7,9.97,2018-11-29 01:02:08.000
3622,1.71,Lyft,South Station,West End,16.5,1.0,39ca87ac-12bc-43c2-9f8e-429c04b5fcbb,lyft_premier,Lux,2018-11-26 10:05:10.097,2018-11-26:10.05.10,40.75,West End,1.0,1014.75,0.0,0.93,1.87,2018-11-26 10:05:10.000
2796,0.49,Uber,North Station,Haymarket Square,5.5,1.0,b0e5dab0-ec15-41f0-b995-f123dd6fded6,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28 11:06:24.631,2018-11-28:11.06.24,33.21,Haymarket Square,0.37,990.67,0.0,0.82,6.61,2018-11-28 11:06:24.000
3865,0.49,Uber,North Station,Haymarket Square,7.0,1.0,fe3e9738-3d72-4e23-a478-5938dbffbadd,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 10:06:24.174,2018-11-28:10.06.24,33.18,Haymarket Square,0.14,991.19,0.0,0.84,5.68,2018-11-28 10:06:24.000
2864,1.23,Lyft,West End,North End,5.0,1.0,89f35ef7-7129-483d-b3e6-d89afdf6946d,lyft_line,Shared,2018-11-26 03:40:46.527,2018-11-26:03.40.46,41.02,North End,0.87,1014.4,0.0,0.92,1.59,2018-11-26 03:40:46.000
1649,2.1,Lyft,South Station,North Station,13.5,1.0,cf22a674-9fcf-488f-9fe2-35340be6bf35,lyft_plus,Lyft XL,2018-11-27 01:45:22.175,2018-11-27:01.45.22,44.19,North Station,1.0,1004.48,0.7247,0.9,13.36,2018-11-27 01:45:22.000
431,2.66,Uber,Theatre District,Fenway,8.5,1.0,6e22d28b-b1df-4ff7-b2fb-32905efea595,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26 06:29:02.291,2018-11-26:06.29.02,40.33,Fenway,1.0,1014.16,0.0,0.92,1.29,2018-11-26 06:29:02.000
959,1.24,Lyft,Theatre District,Haymarket Square,27.5,1.0,4bcfec1f-544b-4de1-84b1-1c5cc52c92de,lyft_luxsuv,Lux Black XL,2018-11-29 01:02:08.628,2018-11-29:01.02.08,38.69,Haymarket Square,0.7,997.11,0.0,0.71,9.95,2018-11-29 01:02:08.000
1380,2.79,Uber,Beacon Hill,Boston University,9.5,1.0,e1caebaa-d0b0-40b3-add0-985c971a6a18,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26 06:29:02.481,2018-11-26:06.29.02,40.45,Boston University,1.0,1014.16,0.0,0.92,1.27,2018-11-26 06:29:02.000
2038,5.7,Uber,Boston University,Financial District,35.5,1.0,ced9fbff-5cfa-4c27-9cab-551364cf761b,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 07:33:43.255,2018-11-28:07.33.43,35.85,Financial District,0.15,991.76,0.0,0.77,6.71,2018-11-28 07:33:43.000
3516,3.08,Uber,Northeastern University,West End,10.5,1.0,11e6092d-3c6e-4629-a562-d18d48397213,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26 06:15:16.823,2018-11-26:06.15.16,40.41,West End,1.0,1014.19,0.0,0.92,1.22,2018-11-26 06:15:16.000
215,1.53,Lyft,Back Bay,Boston University,5.0,1.0,c6e7df5b-7733-46cf-aee0-74fb5572fa23,lyft_line,Shared,2018-11-28 21:32:07.847,2018-11-28:21.32.07,40.45,Boston University,0.86,994.12,0.0,0.65,9.41,2018-11-28 21:32:07.000
3001,2.39,Lyft,South Station,Beacon Hill,7.0,1.0,726cf2ac-24b4-42a8-9695-c7c7512fe22a,lyft_line,Shared,2018-11-28 21:02:08.883,2018-11-28:21.02.08,41.26,Beacon Hill,0.93,993.45,0.0,0.63,8.46,2018-11-28 21:02:08.000
844,2.3,Uber,Back Bay,Haymarket Square,8.5,1.0,a160c9fe-cf92-42c5-bd40-54355bd9fd0e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 02:32:08.526,2018-11-29:02.32.08,38.05,Haymarket Square,0.37,998.28,0.0,0.71,10.79,2018-11-29 02:32:08.000
713,0.68,Uber,West End,Haymarket Square,27.5,1.0,309e7818-580d-4d0c-a4e9-a7825ebc533c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 21:32:07.880,2018-11-28:21.32.07,40.57,Haymarket Square,0.83,994.01,0.0,0.65,9.59,2018-11-28 21:32:07.000
3029,3.12,Lyft,Fenway,Theatre District,7.0,1.0,03e12c7c-d8c8-4f0f-b6af-0ad467e2c0b5,lyft_line,Shared,2018-11-27 00:43:39.229,2018-11-27:00.43.39,43.66,Theatre District,0.97,1005.88,0.2154,0.92,11.22,2018-11-27 00:43:39.000
1056,0.59,Lyft,South Station,Theatre District,16.5,1.0,30b4adf1-b3a3-4a87-8c07-b90f268463b9,lyft_lux,Lux Black,2018-11-28 13:32:07.481,2018-11-28:13.32.07,37.5,Theatre District,0.54,991.79,0.0,0.7,7.25,2018-11-28 13:32:07.000
753,2.84,Lyft,West End,Fenway,22.5,1.0,4addb325-832f-4308-961c-6978e4a4e866,lyft_lux,Lux Black,2018-11-28 14:02:08.334,2018-11-28:14.02.08,38.48,Fenway,0.49,991.67,0.0,0.67,11.49,2018-11-28 14:02:08.000
2605,1.5,Uber,Back Bay,Fenway,7.5,1.0,e4e3f2db-f2ed-489e-b08d-37deaf02dfae,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 22:32:09.133,2018-11-28:22.32.09,39.86,Fenway,0.8,994.7,0.0,0.66,9.94,2018-11-28 22:32:09.000
2997,1.22,Lyft,North End,Financial District,19.5,1.0,19556e26-12e0-47b7-b59e-f1fe582e7700,lyft_lux,Lux Black,2018-11-26 06:16:15.948,2018-11-26:06.16.15,40.51,Financial District,1.0,1014.18,0.0,0.92,1.28,2018-11-26 06:16:15.000
604,2.29,Uber,North Station,South Station,9.5,1.0,ece78b1e-bf04-40df-8134-7ffc6c270f58,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 08:54:56.746,2018-11-28:08.54.56,34.49,South Station,0.52,991.62,0.0,0.8,4.99,2018-11-28 08:54:56.000
3834,4.36,Lyft,Financial District,Fenway,22.5,1.0,921104d3-6781-44de-8fdb-ec7b4528338a,lyft_plus,Lyft XL,2018-11-26 15:05:09.824,2018-11-26:15.05.09,43.14,Fenway,0.96,1014.5,0.0,0.91,3.3,2018-11-26 15:05:09.000
2906,2.66,Uber,Theatre District,Fenway,17.0,1.0,eb4dc9a8-3f22-423b-bcf7-4a9fbf5e63c2,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 10:02:08.015,2018-11-28:10.02.08,33.23,Fenway,0.14,991.19,0.0,0.84,5.51,2018-11-28 10:02:08.000
1578,2.44,Lyft,Beacon Hill,Northeastern University,30.0,1.0,252811f8-9ca7-45d8-a930-f967ed4dcc95,lyft_luxsuv,Lux Black XL,2018-11-28 17:32:07.898,2018-11-28:17.32.07,41.52,Northeastern University,0.85,991.69,0.0,0.63,9.9,2018-11-28 17:32:07.000
1163,1.21,Lyft,Theatre District,Haymarket Square,7.0,1.0,a299106e-7050-41b2-8cb1-4a5db31cf074,lyft,Lyft,2018-11-28 21:02:08.827,2018-11-28:21.02.08,41.14,Haymarket Square,0.93,993.44,0.0,0.63,8.49,2018-11-28 21:02:08.000
2257,2.28,Lyft,Boston University,Beacon Hill,32.5,1.0,45554f9b-bf64-4742-a990-6ae27386bda8,lyft_luxsuv,Lux Black XL,2018-11-27 00:58:48.938,2018-11-27:00.58.48,44.02,Beacon Hill,0.98,1005.98,0.1602,0.9,9.94,2018-11-27 00:58:48.000
14,2.04,Uber,Back Bay,Haymarket Square,18.5,1.0,b9e07c62-4f45-4e26-be3c-a2aa6958204f,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 18:32:08.265,2018-11-28:18.32.08,41.26,Haymarket Square,0.99,991.7,0.0,0.64,10.27,2018-11-28 18:32:08.000
